device_id,circuit_id,split,family,generator,num_qubits,depth,size,attempts_expected,attempts_observed,success_count,failure_count,timeout_count,success_rate,transpile_success_n,transpile_median_s,transpile_mean_s,transpile_p95_s,transpile_max_s,eligible_configurations,best_config_id,best_median_score
ibm_heron_133,ae_indep_qiskit_2,train,ae,qiskit,2,6,9,36,36,36,0,0,1.0,36,0.01931294600012734,0.02790727338887993,0.07074517449996165,0.18544865300009405,12,o2_default_default,0.9968879682
ibm_heron_133,graphstate_indep_qiskit_14,train,graphstate,qiskit,14,8,42,36,36,33,0,3,0.9166666666666666,33,0.05734365200032698,9.72507749921212,34.22807814720009,37.22561993099998,11,o2_default_default,0.9082401559
ibm_heron_133,qaoa_indep_tket_7,train,qaoa,tket,7,10,42,36,36,35,0,1,0.9722222222222222,35,0.05329324900003485,4.107734828971388,13.578622937799881,18.290935596000054,11,o2_default_default,0.9199794631
ibm_heron_133,random_indep_qiskit_30,train,random,qiskit,30,312,2080,36,36,30,0,6,0.8333333333333334,30,1.4244864254997083,1.524195122733363,3.4025399431499848,4.289238374999513,10,o2_dense_sabre,4.3e-09
ibm_heron_133,vqe_indep_tket_16,train,vqe,tket,16,21,94,36,36,36,0,0,1.0,36,0.19420637149960385,0.4871316579444485,1.207905056500067,1.2888932509995357,12,o2_default_default,0.9117946828
ibm_heron_133,wstate_indep_tket_90,train,wstate,tket,90,181,447,36,36,24,0,12,0.6666666666666666,24,0.10771128450051037,1.485743641874933,3.4948973055498747,26.318414362000112,8,o2_default_default,0.4989844454
ibm_heron_133,pricingcall_indep_qiskit_5,validation,pricingcall,qiskit,5,36,47,36,36,30,0,6,0.8333333333333334,30,0.04958102200043868,0.05029850619997281,0.08329463715008385,0.09903591300007974,10,o2_default_default,0.8734395472
ibm_heron_133,qft_indep_tket_40,validation,qft,tket,40,81,880,36,36,30,0,6,0.8333333333333334,30,0.7207391935003216,0.8933653137000571,2.1479823365999886,2.278251559000637,10,o3_dense_sabre,0.0001540252
ibm_heron_133,qpeexact_indep_tket_60,test,qpeexact,tket,60,179,1977,36,36,30,0,6,0.8333333333333334,30,1.7381135764999271,2.3011315101667,6.285946181049937,10.494331042999875,10,o3_dense_sabre,9.99e-08
ibm_heron_133,routing_indep_qiskit_12,test,routing,qiskit,12,20,93,36,36,36,0,0,1.0,36,0.053333886500240624,0.1346272045833151,0.34438652724998065,0.36287181900024734,12,o2_default_default,0.915690099
