accepted_with_unverified_facts,attempt_count,attempt_windows,attempts_sha256,circuit_id,compiler_results_reused,compiler_wall_time_new_seconds,configuration_id,ended_at,error_codes,fact_validation_seconds,facts_checked,facts_status,facts_verified,failure,failure_category,family,first_attempt_facts_verified,first_attempt_json_valid,first_attempt_schema_valid,first_attempt_valid,generation_seconds,hypothesis_contains_example_ids,hypothesis_status,input_prompt_sha256,input_tokens,llm_calls,maximum_gpu_hotspot_c,measured_call_seconds,measured_call_seconds_observed,minimum_available_ram_bytes,num_qubits,peak_gpu_dedicated_bytes,peak_gpu_shared_bytes,peak_process_working_set_bytes,physical_calls,prompt_processing_seconds,reasoning_tokens,reasoning_tokens_missing_reason,regret_absolute,repair_count,resource_log_incomplete_tail,resource_measurement_missing_reason,resource_run_key,retrieval_and_context_seconds,schema_version,score,selected_config_id,selected_device_id,server_resource_paths,server_resource_sources,source_sha256,split,status,total_cached_tokens,total_call_seconds,total_input_tokens,total_input_tokens_observed,total_output_tokens,total_output_tokens_observed,transport_retries,trial_id,ttft_seconds
False,1,"[[""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:50:07.928398+00:00"", ""2026-09-19T18:50:31.755879+00:00""]]",1cb97edd47f7e3339167127138ac17b6261a34339ae2ebb29740fbd5928f896b,ae_indep_qiskit_60,True,0,p0_t0,2026-09-19T18:50:31.773735+00:00,{},0.007463785999789252,2,verified,2,,,ae,True,True,True,True,4.713918,False,not_evaluated,922b5fdf2e5aaa6832930a9167f4fba6c24e0da1d9caeca0859416efab8f4966,11065,1,95,23.827490273000876,23.827490273000876,2161582080,60,5912793088,740683776,3976450048,1,19.028937000000003,,No separate reliable token counter; extended thinking disabled,,0,False,,2026-09-19T18:48:41.9005807Z,5.604381559000103,study-results-v2,,o3_default_default,ibm_heron_156,"[""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1""]","{""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/exit.json"": ""394eb9db62454d607bd341246e56f9fd5b7e0a1ce44eb5a6596736d900983d77"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/launch.json"": ""0d761af5ebffcda5fb44fdb48c0ffac425a584948f8878de45c31a117d048aa4"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/resources.jsonl"": ""17743354af001036c33021e9e0bde6cb8b827b6ed3d7db368f96c61ad3ba710a""}",8332527e500c8694d2a1259feb3166dd0172877ad96f00a016d15b69899d9720,train,success,11195,23.827490273000876,11066,11066,130,130,0,gemma/p0_t0,19.103222391999225
False,1,"[[""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:51:29.223746+00:00"", ""2026-09-19T18:51:34.270984+00:00""]]",8021ebf984d293083dbc5e6dc172319a64d9f6c9becb7b46e6b3b81ebcc750e2,dj_indep_tket_2,True,0,p0_t0,2026-09-19T18:51:34.452703+00:00,{},0.17111127499993017,2,verified,2,,,dj,True,True,True,True,4.904139,False,not_evaluated,4019c21dc03593a4c3daa4af551f5f0f341f0aa00de44cf5e82f227c49b354f7,11450,1,86,5.047241016998669,5.047241016998669,3434917888,2,5919903744,740782080,3988836352,1,0.081254,,No separate reliable token counter; extended thinking disabled,,0,False,,2026-09-19T18:48:41.9005807Z,5.385016652000559,study-results-v2,,o2_default_default,ibm_falcon_127,"[""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1""]","{""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/exit.json"": ""394eb9db62454d607bd341246e56f9fd5b7e0a1ce44eb5a6596736d900983d77"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/launch.json"": ""0d761af5ebffcda5fb44fdb48c0ffac425a584948f8878de45c31a117d048aa4"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/resources.jsonl"": ""17743354af001036c33021e9e0bde6cb8b827b6ed3d7db368f96c61ad3ba710a""}",bc1833de09d70b83eed4ddd1a593a1e9ce2d7bf86baa534c1e3cbf6e6ab94c5d,train,success,11585,5.047241016998669,11451,11451,135,135,0,gemma/p0_t0,0.13273309699980018
True,3,"[[""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:52:17.919336+00:00"", ""2026-09-19T18:52:23.033956+00:00""], [""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:52:23.398175+00:00"", ""2026-09-19T18:52:29.052166+00:00""], [""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:52:29.578035+00:00"", ""2026-09-19T18:52:34.550688+00:00""]]",dabfe8b9c0917ae85c96490f62c523fc93c03d5fe7beca208459049ff98f3831,portfoliovqe_indep_qiskit_6,True,0,p0_t0,2026-09-19T18:52:34.570331+00:00,"{""FACT_NOT_SUPPORTED"": 3}",0.19199767600184714,6,unverified,3,,,portfolio,False,True,True,False,14.159192000000001,False,not_evaluated,9b102d4a73dc3c6e207c5ccdedf7da6aeb045468b712f591e93c3841f817c391,12574,3,92,15.741300824000064,15.741300824000064,3624009728,6,5926211584,740782080,4001267712,3,1.392857,,No separate reliable token counter; extended thinking disabled,,2,False,,2026-09-19T18:48:41.9005807Z,5.107976933999453,study-results-v2,,o3_default_default,ibm_heron_156,"[""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1""]","{""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/exit.json"": ""394eb9db62454d607bd341246e56f9fd5b7e0a1ce44eb5a6596736d900983d77"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/launch.json"": ""0d761af5ebffcda5fb44fdb48c0ffac425a584948f8878de45c31a117d048aa4"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/resources.jsonl"": ""17743354af001036c33021e9e0bde6cb8b827b6ed3d7db368f96c61ad3ba710a""}",7dafebd46e73b9b279f1ef96da32f7d563de3721b856b4570375ab81951e06fc,train,success,38388,15.741300824000064,38003,38003,388,388,0,gemma/p0_t0,0.18338983200010261
False,2,"[[""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:52:50.804226+00:00"", ""2026-09-19T18:53:16.659324+00:00""], [""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:53:17.037961+00:00"", ""2026-09-19T18:53:22.018998+00:00""]]",af7e4409206950671fc1fe28689c7114e051676415cf7d4480c2c7dbaeae39bb,su2random_indep_qiskit_50,True,0,p0_t0,2026-09-19T18:53:22.037874+00:00,"{""FACT_NOT_SUPPORTED"": 1}",0.1869484079998074,4,verified,3,,,random_ansatz,False,True,True,False,8.602993999999999,False,not_evaluated,10f42e2c4fc0e2770b44d131efbdb4b8cb0c50b3b42a30e16e342d8152ddcab6,12267,2,102,30.836138038999707,30.836138038999707,3418742784,50,5928980480,740782080,4002037760,2,22.104573,,No separate reliable token counter; extended thinking disabled,,1,False,,2026-09-19T18:48:41.9005807Z,5.519085701000222,study-results-v2,,o2_default_default,ibm_falcon_127,"[""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1""]","{""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/exit.json"": ""394eb9db62454d607bd341246e56f9fd5b7e0a1ce44eb5a6596736d900983d77"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/launch.json"": ""0d761af5ebffcda5fb44fdb48c0ffac425a584948f8878de45c31a117d048aa4"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/resources.jsonl"": ""17743354af001036c33021e9e0bde6cb8b827b6ed3d7db368f96c61ad3ba710a""}",b1064ac39fd23798db2e87140a9cd40d2c2994ebd9d00891f04c07001eb56051,train,success,24889,30.836138038999707,24655,24655,236,236,0,gemma/p0_t0,21.72586827899977
False,2,"[[""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:54:53.792114+00:00"", ""2026-09-19T18:54:58.440229+00:00""], [""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:54:58.786457+00:00"", ""2026-09-19T18:55:03.719909+00:00""]]",66d4413d1ff90f0b22ae1c4702bd26190ce1b90f7d4f8513b73e1b4192823cb2,su2random_indep_tket_50,True,0,p0_t0,2026-09-19T18:55:03.741949+00:00,"{""FACT_NOT_SUPPORTED"": 1}",0.020497563997196266,4,verified,3,,,random_ansatz,False,True,True,False,8.554155,False,not_evaluated,9e479c7555f467faf2e62769cfc52f5e9b08479d262e73f0add274818ef4a875,12298,2,88,9.581575601998338,9.581575601998338,3541135360,50,5928980480,740782080,4017401856,2,0.896783,,No separate reliable token counter; extended thinking disabled,,1,False,,2026-09-19T18:48:41.9005807Z,5.370873234000101,study-results-v2,,o2_default_default,ibm_falcon_127,"[""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1""]","{""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/exit.json"": ""394eb9db62454d607bd341246e56f9fd5b7e0a1ce44eb5a6596736d900983d77"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/launch.json"": ""0d761af5ebffcda5fb44fdb48c0ffac425a584948f8878de45c31a117d048aa4"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/resources.jsonl"": ""17743354af001036c33021e9e0bde6cb8b827b6ed3d7db368f96c61ad3ba710a""}",498db87f252e642885b25f0a804d340d70e3c3b27afa29ca545884b633682140,train,success,24950,9.581575601998338,24717,24717,235,235,0,gemma/p0_t0,0.5232337799989182
False,1,"[[""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:50:32.112889+00:00"", ""2026-09-19T18:50:37.229430+00:00""]]",41e2724bbddb1550fe286be1d90e3c8b303d6952b6e743e20c6d6ab3c07f29e9,ae_indep_qiskit_60,True,0,p0_t04,2026-09-19T18:50:37.245810+00:00,{},0.007017498001005151,2,verified,2,,,ae,True,True,True,True,4.970152,False,not_evaluated,922b5fdf2e5aaa6832930a9167f4fba6c24e0da1d9caeca0859416efab8f4966,11065,1,83,5.116564505000497,5.116564505000497,2403684352,60,5912793088,740683776,3987718144,1,0.08343300000000001,,No separate reliable token counter; extended thinking disabled,,0,False,,2026-09-19T18:48:41.9005807Z,5.604381559000103,study-results-v2,,o3_default_default,ibm_heron_156,"[""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1""]","{""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/exit.json"": ""394eb9db62454d607bd341246e56f9fd5b7e0a1ce44eb5a6596736d900983d77"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/launch.json"": ""0d761af5ebffcda5fb44fdb48c0ffac425a584948f8878de45c31a117d048aa4"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/resources.jsonl"": ""17743354af001036c33021e9e0bde6cb8b827b6ed3d7db368f96c61ad3ba710a""}",8332527e500c8694d2a1259feb3166dd0172877ad96f00a016d15b69899d9720,train,success,11202,5.116564505000497,11066,11066,137,137,0,gemma/p0_t04,0.1368479180000577
False,1,"[[""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:50:58.928937+00:00"", ""2026-09-19T18:51:23.759658+00:00""]]",073e2ce6086c93adfef29ba8d9a1c6fb5c944f366f1f57031dfbcf4524d47a7b,dj_indep_tket_2,True,0,p0_t04,2026-09-19T18:51:23.778990+00:00,{},0.009887742999126203,2,verified,2,,,dj,True,True,True,True,5.022195,True,not_evaluated,4019c21dc03593a4c3daa4af551f5f0f341f0aa00de44cf5e82f227c49b354f7,11450,1,100,24.830723908000436,24.830723908000436,3385933824,2,5919903744,740782080,3977990144,1,19.747528,,No separate reliable token counter; extended thinking disabled,,0,False,,2026-09-19T18:48:41.9005807Z,5.385016652000559,study-results-v2,,o2_default_default,ibm_falcon_127,"[""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1""]","{""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/exit.json"": ""394eb9db62454d607bd341246e56f9fd5b7e0a1ce44eb5a6596736d900983d77"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/launch.json"": ""0d761af5ebffcda5fb44fdb48c0ffac425a584948f8878de45c31a117d048aa4"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/resources.jsonl"": ""17743354af001036c33021e9e0bde6cb8b827b6ed3d7db368f96c61ad3ba710a""}",bc1833de09d70b83eed4ddd1a593a1e9ce2d7bf86baa534c1e3cbf6e6ab94c5d,train,success,11588,24.830723908000436,11451,11451,138,138,0,gemma/p0_t04,19.798334418001104
False,2,"[[""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:52:34.927975+00:00"", ""2026-09-19T18:52:39.450451+00:00""], [""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:52:39.847874+00:00"", ""2026-09-19T18:52:44.556995+00:00""]]",b2b8527b7b0ac8a2ab0509747235487a058f37685901a15bdeeb5bf0982fcb0f,portfoliovqe_indep_qiskit_6,True,0,p0_t04,2026-09-19T18:52:44.580981+00:00,"{""FACT_NOT_SUPPORTED"": 1}",0.0198782140014373,4,verified,3,,,portfolio,False,True,True,False,8.182148,False,not_evaluated,9b102d4a73dc3c6e207c5ccdedf7da6aeb045468b712f591e93c3841f817c391,12574,2,91,9.231607083998824,9.231607083998824,3602292736,6,5928980480,740782080,4001976320,2,0.918487,,No separate reliable token counter; extended thinking disabled,,1,False,,2026-09-19T18:48:41.9005807Z,5.107976933999453,study-results-v2,,o2_default_default,ibm_falcon_27,"[""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1""]","{""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/exit.json"": ""394eb9db62454d607bd341246e56f9fd5b7e0a1ce44eb5a6596736d900983d77"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/launch.json"": ""0d761af5ebffcda5fb44fdb48c0ffac425a584948f8878de45c31a117d048aa4"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/resources.jsonl"": ""17743354af001036c33021e9e0bde6cb8b827b6ed3d7db368f96c61ad3ba710a""}",7dafebd46e73b9b279f1ef96da32f7d563de3721b856b4570375ab81951e06fc,train,success,25491,9.231607083998824,25269,25269,224,224,0,gemma/p0_t04,0.5273627320002561
True,3,"[[""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:53:22.391434+00:00"", ""2026-09-19T18:53:26.996982+00:00""], [""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:53:27.375092+00:00"", ""2026-09-19T18:53:31.909304+00:00""], [""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:53:32.296787+00:00"", ""2026-09-19T18:53:37.262384+00:00""]]",0227d04bf73a65a9463ef58d08ad8c262121b5820fe084165c47ed9105029bf4,su2random_indep_qiskit_50,True,0,p0_t04,2026-09-19T18:53:37.298586+00:00,"{""FACT_NOT_SUPPORTED"": 4}",0.03027917899999011,6,unverified,2,,,random_ansatz,False,True,True,False,12.786674999999999,False,not_evaluated,10f42e2c4fc0e2770b44d131efbdb4b8cb0c50b3b42a30e16e342d8152ddcab6,12267,3,88,14.105360314997597,14.105360314997597,3575357440,50,5928980480,740782080,4039983104,3,1.124266,,No separate reliable token counter; extended thinking disabled,,2,False,,2026-09-19T18:48:41.9005807Z,5.519085701000222,study-results-v2,,o3_default_default,ibm_heron_133,"[""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1""]","{""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/exit.json"": ""394eb9db62454d607bd341246e56f9fd5b7e0a1ce44eb5a6596736d900983d77"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/launch.json"": ""0d761af5ebffcda5fb44fdb48c0ffac425a584948f8878de45c31a117d048aa4"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/resources.jsonl"": ""17743354af001036c33021e9e0bde6cb8b827b6ed3d7db368f96c61ad3ba710a""}",b1064ac39fd23798db2e87140a9cd40d2c2994ebd9d00891f04c07001eb56051,train,success,37420,14.105360314997597,37072,37072,351,351,0,gemma/p0_t04,0.1817886869994254
False,3,"[[""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:53:59.131400+00:00"", ""2026-09-19T18:54:26.016853+00:00""], [""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:54:26.370333+00:00"", ""2026-09-19T18:54:31.532298+00:00""], [""2026-09-19T18:48:41.9005807Z"", ""2026-09-19T18:54:32.064913+00:00"", ""2026-09-19T18:54:36.969019+00:00""]]",5909f9c1df2692b82c37f62506cd3b48b20e798e5db4cc842f4c911a61165415,su2random_indep_tket_50,True,0,p0_t04,2026-09-19T18:54:36.988174+00:00,"{""FACT_NOT_SUPPORTED"": 2}",0.3566423919983208,6,verified,4,,,random_ansatz,False,True,True,False,13.434386,False,not_evaluated,9e479c7555f467faf2e62769cfc52f5e9b08479d262e73f0add274818ef4a875,12298,3,103,36.95153428900085,36.95153428900085,3315113984,50,5928980480,740782080,4028633088,3,23.32429,,No separate reliable token counter; extended thinking disabled,,2,False,,2026-09-19T18:48:41.9005807Z,5.370873234000101,study-results-v2,,o2_default_default,ibm_falcon_127,"[""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1""]","{""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/exit.json"": ""394eb9db62454d607bd341246e56f9fd5b7e0a1ce44eb5a6596736d900983d77"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/launch.json"": ""0d761af5ebffcda5fb44fdb48c0ffac425a584948f8878de45c31a117d048aa4"", ""artifacts/experiments/qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2/llm_selection/servers/local-llm-v2-20260919-202842-gemma-1/resources.jsonl"": ""17743354af001036c33021e9e0bde6cb8b827b6ed3d7db368f96c61ad3ba710a""}",498db87f252e642885b25f0a804d340d70e3c3b27afa29ca545884b633682140,train,success,37529,36.95153428900085,37164,37164,368,368,0,gemma/p0_t04,22.37899169299999
