#{"t_start": 1788946560.1669784, "env_id": "None"}
r,l,t
0.934686,3,77.076048
0.980852,3,77.183054
0.0,3,139.728906
0.970221,4,139.839654
0.945179,3,139.917977
0.122886,12,153.679713
0.942233,3,153.756889
0.895137,4,156.923631
0.927559,3,160.430969
0.917313,3,163.565198
0.920098,3,163.659203
0.848314,3,175.658465
0.953733,3,177.991483
0.97276,3,180.212898
0.828546,3,180.31785
0.795636,3,180.408808
0.968418,4,182.636531
0.977148,3,182.706611
0.981117,3,182.785879
0.84308,4,187.026393
0.961727,3,189.842534
0.944756,3,189.924314
0.889348,3,190.002192
0.734057,7,190.839177
0.957029,4,190.941634
0.927567,4,194.034026
0.939751,3,196.923906
0.955221,3,197.0116
0.841463,8,202.237374
0.771771,7,221.038182
0.988212,3,221.110782
0.796615,3,221.204339
0.979353,3,223.459535
0.987945,3,225.593852
0.955279,4,228.467465
0.939747,3,228.637925
0.972643,3,230.746451
0.885327,4,230.866401
0.938366,4,230.976111
0.916293,3,231.056781
0.956541,4,231.164622
0.0,1,291.866842
0.97466,3,294.965552
0.933224,4,295.110054
0.94612,3,300.55034
0.882471,3,305.639235
0.981117,3,305.714964
0.979353,3,307.980927
0.0,3,368.48472
0.976124,3,370.607228
0.950414,4,370.760513
0.943141,3,370.836933
0.993417,3,372.870189
0.0,1,433.21621
0.954019,3,433.357001
0.796161,4,433.484212
0.965718,3,435.844568
0.936512,3,441.446836
0.95988,4,443.703187
0.916593,3,443.791353
0.991749,3,443.861074
0.961727,3,446.650418
0.979059,3,448.962991
0.848314,3,455.412057
0.864192,3,455.511183
0.981265,3,458.547961
0.984215,3,458.625679
0.940428,4,461.267318
0.916241,4,461.406675
0.925,3,464.23416
0.962995,3,464.316616
0.939611,3,467.722628
0.995238,6,469.758454
0.913166,4,474.253012
0.932445,3,477.250374
0.962737,3,481.954033
0.932445,3,484.987772
0.972906,3,487.850561
0.951929,3,487.93011
0.944669,3,493.135758
0.936512,3,495.935852
0.861943,3,500.566884
0.913218,3,500.65642
0.0,3,562.24003
0.967023,3,562.333076
0.991749,3,562.402187
0.889268,3,562.488996
0.95821,3,564.914673
0.957,4,565.027681
0.979528,3,565.105386
0.0,2,626.377954
0.93961,3,631.928476
0.972906,3,634.714935
0.895137,3,634.798864
0.94612,3,640.124946
0.989697,3,642.220652
0.965922,3,644.681749
0.988064,4,649.135016
0.989934,3,651.171094
0.981117,3,651.26357
0.916289,3,651.355282
0.960224,5,653.754596
0.813399,3,660.088787
0.91138,4,660.209917
0.989548,3,662.273224
0.884724,3,670.418256
0.911001,5,673.707742
0.989548,3,677.726996
0.957262,3,682.750957
0.99491,3,684.605938
0.889862,5,688.177824
0.93961,3,690.900287
0.92353,3,696.99704
0.983477,3,697.07196
0.321027,6,702.550727
0.949392,3,705.08263
0.97997,3,709.344378
0.953733,3,711.878104
0.869055,3,711.973124
0.913903,3,712.06026
0.893554,3,712.15789
0.933758,5,712.283225
0.894466,4,712.393495
0.882471,3,717.676616
0.954246,3,717.754703
0.949362,3,717.893775
0.97997,3,720.101781
0.949534,3,722.776864
0.946173,5,722.906819
0.932724,6,733.691468
0.024042,4,734.068739
0.926863,4,737.168424
0.907394,3,737.253797
0.124293,5,737.965515
0.969085,3,738.043111
0.907862,3,741.436854
0.988064,3,743.73883
0.996404,3,745.673227
0.974075,3,748.803469
0.882471,3,758.756591
0.944613,3,761.490752
0.9225,3,761.570534
0.986286,3,763.6313
0.863282,4,769.801391
0.93127,4,769.921945
0.950957,3,770.001435
0.974513,3,772.670027
0.930706,3,774.926916
0.865149,6,775.088792
0.979353,3,779.392509
0.942828,3,779.500615
0.973052,4,784.872874
0.996554,3,784.938785
0.939611,3,788.275935
0.939751,4,790.980561
0.913056,3,798.955077
0.9608,3,799.111026
0.957262,3,804.224289
0.0,1,864.60141
0.978294,4,866.893905
0.907862,3,873.943711
0.904597,6,877.342759
0.958556,3,882.180804
0.981117,3,882.280352
0.992076,4,882.401519
0.947257,3,885.532813
0.988094,4,887.60609
0.970106,3,889.929117
0.866327,4,894.783263
0.848314,5,900.984923
0.984244,4,901.092402
0.970221,4,901.198194
0.974834,3,901.277344
0.989697,3,903.455163
0.939383,3,906.167186
0.988064,3,908.729178
0.962995,3,908.808278
0.936512,4,911.556278
0.959275,3,916.449139
0.972468,3,918.821346
0.97627,3,921.791579
0.979852,3,923.872321
0.024068,6,970.600965
0.967373,3,973.143852
0.963689,3,973.26769
0.988064,3,977.757299
0.951043,3,977.889526
0.975977,3,980.102959
0.988212,3,980.175073
0.74968,12,1000.103482
0.937356,3,1006.668891
0.939383,3,1009.817343
0.907726,3,1017.391507
0.940793,3,1017.481874
0.887859,10,1026.276707
0.848314,5,1037.98072
0.942092,5,1038.285496
0.993745,3,1038.357942
0.911137,7,1075.717479
0.963517,3,1077.931699
0.945209,4,1080.647178
0.975977,3,1085.028616
0.02403,8,1086.103344
0.973929,3,1089.028707
0.977794,3,1089.114289
0.942294,3,1094.948336
0.848314,4,1101.086009
0.939751,3,1103.893475
0.967023,3,1103.966375
0.958556,3,1108.660546
0.97627,3,1111.63246
0.881853,4,1111.74764
0.949392,3,1116.998545
0.848314,5,1123.212524
0.913056,3,1131.178013
0.946003,3,1131.259161
0.0,6,1235.518505
0.94612,3,1239.495608
0.978529,3,1239.578338
0.984451,3,1239.655736
0.910865,3,1242.731243
0.957691,3,1242.815258
0.991987,3,1242.900725
0.976739,3,1243.064239
0.973168,6,1245.444681
0.912095,3,1248.425381
0.95016,3,1248.503682
0.981323,3,1250.604853
0.882471,3,1255.884533
0.779847,3,1256.115746
0.926916,5,1256.433326
0.0,1,1316.944152
0.957376,3,1317.262239
0.979529,3,1319.860098
0.954162,3,1319.941696
0.811304,7,1320.173303
0.957,5,1322.437682
0.996404,4,1324.315799
0.979646,3,1329.185165
0.976855,3,1329.325256
0.989964,3,1329.396715
0.930457,5,1329.533575
0.936199,3,1329.612762
0.991332,3,1331.725852
0.899528,4,1331.842859
0.987916,3,1333.931024
0.942859,4,1336.69732
0.913056,3,1340.58924
0.988064,3,1342.895217
0.920454,3,1342.979937
0.911137,4,1360.4426
0.0,5,1426.654402
0.895808,4,1426.772638
0.917175,4,1430.101462
0.982887,3,1432.2077
0.980587,4,1434.550291
0.910148,3,1434.663861
0.926916,3,1434.744826
0.972468,3,1437.163549
0.894388,3,1440.582972
0.926724,3,1446.489065
0.930706,3,1448.760361
0.110035,20,1535.823516
0.906254,3,1538.859871
0.932445,3,1542.072299
0.944756,3,1542.163123
0.88717,4,1542.273815
0.922666,4,1542.38145
0.349408,14,1571.13538
0.0,12,1673.399371
0.99491,3,1675.177051
0.0,1,1735.866446
0.99491,3,1737.825184
0.828546,3,1737.935185
0.988212,3,1738.008719
0.978381,3,1738.083996
0.872485,3,1741.661672
0.951074,3,1741.749973
0.970659,3,1743.969982
0.922334,4,1746.790709
0.967373,3,1749.269922
0.0,3,1839.287234
0.955624,3,1841.831211
0.962737,3,1844.268903
0.974805,3,1844.379857
0.976768,3,1844.456827
0.9287,3,1844.545943
0.996404,3,1846.528591
0.0,1,1907.220784
0.959275,3,1909.83865
0.902914,3,1913.111809
0.987916,3,1915.366682
0.0,4,1977.802883
0.9299,6,1980.81413
0.939747,3,1980.88977
0.887548,10,1993.25325
0.972906,4,1996.240404
0.980058,3,1996.331656
0.944643,3,1996.414576
0.933285,4,1999.327113
0.913221,3,1999.540854
0.961727,3,2002.304859
0.993656,4,2004.439502
0.946262,3,2009.783224
0.0,2,2071.457488
0.778608,3,2077.34444
0.982887,3,2079.462712
0.984659,3,2081.686383
0.300976,7,2146.206372
0.988064,3,2148.723707
0.97759,4,2153.083076
0.948135,3,2153.165516
0.901615,3,2156.76721
0.993715,5,2156.884215
0.917588,4,2160.422366
0.861788,3,2169.680931
0.936512,3,2172.466435
0.771311,3,2189.19988
0.976739,3,2189.272725
0.964848,4,2192.148178
0.894466,3,2192.260527
0.974075,3,2195.653421
0.951243,3,2195.728653
0.848314,7,2213.345896
0.992076,4,2213.440072
0.907862,3,2219.962184
0.984659,3,2222.91734
0.978352,3,2222.99125
0.771496,7,2244.916406
0.952246,3,2250.407569
0.002941,6,2289.669954
0.930068,3,2295.44115
0.982887,3,2297.905529
0.981676,3,2297.97923
0.984511,5,2300.286143
0.7909,5,2300.43841
0.886074,9,2314.354551
0.882471,3,2324.084461
0.954189,4,2324.191763
0.912506,3,2339.468824
0.98451,3,2339.547199
0.987916,3,2341.753638
0.969698,3,2347.393983
0.961727,3,2352.700168
0.903512,4,2356.622041
0.991332,3,2360.771227
0.975331,3,2362.786414
0.939611,3,2366.273198
0.980676,3,2368.364206
0.0,4,2430.963946
0.947257,3,2433.992319
0.969698,3,2437.487431
0.864786,3,2437.576573
0.944444,3,2437.655144
0.0,4,2500.659747
0.94048,5,2500.799109
0.963197,3,2500.880246
0.024079,5,2545.243782
0.830662,6,2545.424595
0.988983,3,2545.502941
0.940593,3,2545.581625
0.946262,3,2548.368415
0.98451,4,2550.32887
0.913022,3,2550.422334
0.811085,3,2558.092455
0.984541,3,2560.352003
0.926724,3,2566.379932
0.984451,3,2566.458731
0.988568,3,2566.5333
0.984659,3,2569.319324
0.873239,4,2569.453071
0.981117,4,2569.551038
