device_id,study,config_id,optimization_level,layout_method,routing_method,attempts_expected,attempts_observed,success_count,failure_count,timeout_count,success_rate,circuits_expected,circuits_complete,circuits_eligible,transpile_success_n,transpile_min_s,transpile_median_s,transpile_mean_s,transpile_p95_s,transpile_max_s,rank1_count,co_winner_count,top3_count
ibm_falcon_27,baseline,o2_default_default,2,,,1230,1230,1230,0,0,1.0,410,410,410,1230,0.005464410001877695,0.01143893800326623,0.013595734895299269,0.020762464201834516,0.35899329200037755,98,98,253
ibm_falcon_27,baseline,o3_default_default,3,,,1230,1230,1230,0,0,1.0,410,410,410,1230,0.006336264996207319,0.013345974497497082,0.01616860165297881,0.027102054343413326,0.39434527400590014,198,273,379
ibm_falcon_27,layout,o2_sabre_sabre,2,sabre,sabre,1230,1230,1230,0,0,1.0,410,410,410,1230,0.006209147002664395,0.010994229007337708,0.0118355602586057,0.018718287201772904,0.04496229300275445,1,6,66
ibm_falcon_27,layout,o2_dense_sabre,2,dense,sabre,1230,1230,1230,0,0,1.0,410,410,410,1230,0.006584471993846819,0.011850074493850116,0.01246768209938437,0.016504672206792744,0.23719263600651175,72,72,235
ibm_falcon_27,layout,o2_trivial_sabre,2,trivial,sabre,1230,1230,1230,0,0,1.0,410,410,410,1230,0.005705595001927577,0.010649710493453313,0.011236543185326055,0.01538966919397353,0.1863956810120726,4,4,8
ibm_falcon_27,layout,o3_sabre_sabre,3,sabre,sabre,1230,1230,1230,0,0,1.0,410,410,410,1230,0.006750811007805169,0.012422214495018125,0.013976141832588142,0.025502305399277246,0.041674248001072556,4,10,82
ibm_falcon_27,layout,o3_dense_sabre,3,dense,sabre,1230,1230,1230,0,0,1.0,410,410,410,1230,0.0068596130004152656,0.013309296002262272,0.014736699322579292,0.023723377697751857,0.26202961600210983,26,97,156
ibm_falcon_27,layout,o3_trivial_sabre,3,trivial,sabre,1230,1230,1230,0,0,1.0,410,410,410,1230,0.006141676989500411,0.013124588993377984,0.014480336973083024,0.024221645448415076,0.046527223006705754,0,0,6
ibm_falcon_27,routing,o2_sabre_lookahead,2,sabre,lookahead,1230,1230,989,0,241,0.8040650406504065,410,410,302,989,0.0063201800076058134,3.826138659991557,9.280881137851493,39.494983446999676,94.92571650199534,0,0,6
ibm_falcon_27,routing,o2_sabre_basic,2,sabre,basic,1230,1230,1230,0,0,1.0,410,410,410,1230,0.005965500997263007,0.014430914998229127,0.01751409798877823,0.03731209260295144,0.20427503700193483,0,0,1
ibm_falcon_27,routing,o3_sabre_lookahead,3,sabre,lookahead,1230,1230,989,0,241,0.8040650406504065,410,410,303,989,0.006940182996913791,3.6502170549938455,9.376807796171876,42.50956766699671,96.33362764700723,7,7,37
ibm_falcon_27,routing,o3_sabre_basic,3,sabre,basic,1230,1230,1230,0,0,1.0,410,410,410,1230,0.006914696990861557,0.015833557496080175,0.020696885836591312,0.05076363540065357,0.26423296600114554,0,0,1
