device_id,study,config_id,optimization_level,layout_method,routing_method,attempts_expected,attempts_observed,success_count,failure_count,timeout_count,success_rate,circuits_expected,circuits_complete,circuits_eligible,transpile_success_n,transpile_min_s,transpile_median_s,transpile_mean_s,transpile_p95_s,transpile_max_s,rank1_count,co_winner_count,top3_count
ibm_heron_156,baseline,o2_default_default,2,,,30,30,30,0,0,1.0,10,10,10,30,0.012873993000084738,0.04708288550000361,0.20941932233337562,0.9539571853001685,1.2626329599997916,3,3,7
ibm_heron_156,baseline,o3_default_default,3,,,30,30,27,0,3,0.9,10,10,9,27,0.021693827000035526,1.9481966350003859,5.795188826296352,25.603677802699618,33.92376799400017,5,6,8
ibm_heron_156,layout,o2_sabre_sabre,2,sabre,sabre,30,30,30,0,0,1.0,10,10,10,30,0.020750394000060624,0.04470792199981588,0.22002591439982097,0.9260703979499337,0.9744706829997085,1,1,4
ibm_heron_156,layout,o2_dense_sabre,2,dense,sabre,30,30,30,0,0,1.0,10,10,10,30,0.014152161999845703,0.025344125000174245,0.08902674443331003,0.27326983720004133,0.31557026199971006,1,1,4
ibm_heron_156,layout,o2_trivial_sabre,2,trivial,sabre,30,30,30,0,0,1.0,10,10,10,30,0.009694886999568553,0.02077731749977829,0.09398790766657233,0.3268336646498028,0.3309783670001707,0,0,0
ibm_heron_156,layout,o3_sabre_sabre,3,sabre,sabre,30,30,27,0,3,0.9,10,10,9,27,0.02881986100010181,1.945854686999155,10.31245041077783,54.1883746879997,87.89748091399997,0,0,1
ibm_heron_156,layout,o3_dense_sabre,3,dense,sabre,30,30,30,0,0,1.0,10,10,10,30,0.02462048000006689,0.10959221350003645,0.5484096937334623,2.1801548166503824,2.416036368999812,0,1,5
ibm_heron_156,layout,o3_trivial_sabre,3,trivial,sabre,30,30,29,0,1,0.9666666666666667,10,10,9,29,0.018436195000049338,0.8147811109997747,6.067963733448135,35.087614214999846,50.686994888999834,0,0,0
ibm_heron_156,routing,o2_sabre_lookahead,2,sabre,lookahead,30,30,18,0,12,0.6,10,10,6,18,0.019168718999935663,0.08010461399999258,6.769224713111094,26.01129468729997,34.51855435200014,0,0,1
ibm_heron_156,routing,o2_sabre_basic,2,sabre,basic,30,30,30,0,0,1.0,10,10,10,30,0.018505350999475922,0.060152057500317824,0.3956294363667439,1.8482898734498119,2.004753047000122,0,0,0
ibm_heron_156,routing,o3_sabre_lookahead,3,sabre,lookahead,30,30,9,0,21,0.3,10,10,3,9,0.0322395130001496,0.2708275219993084,0.5340503467779045,1.3545838192005248,1.4430554340005983,0,0,0
ibm_heron_156,routing,o3_sabre_basic,3,sabre,basic,30,30,27,0,3,0.9,10,10,9,27,0.027595384999585804,1.636935404999349,9.510036180777778,50.300174849700255,77.60595280500002,0,0,0
