accuracy_denominator,circuits,configuration_exact_matches,device_exact_matches,failures,first_attempt_json_valid,first_attempt_schema_valid,first_attempt_valid,group_field,group_value,median_call_seconds,median_regret_absolute,oracle_available,output_tokens_observed_lower_bound,pair_exact_matches,peak_gpu_bytes,peak_ram_bytes,regret_available,repairs,token_complete_circuits,total_call_seconds,total_llm_calls,total_output_tokens,transport_retries,trial_id,valid_and_compilable,valid_decisions
0,14,0,0,{},14,14,14,family,pricing,3.1228286569999852,,0,1078,0,5920829440,3989868544,0,0,14,143.59166013100014,14,1078,0,gemma/p0_t0,14,14
18,74,6,4,{},74,74,74,family,qft,3.0897118220000266,0.006643481750000013,18,5544,0,5923196928,4026589184,18,0,74,747.8632806460009,74,5544,0,gemma/p0_t0,74,74
0,4,0,0,{},4,4,4,num_qubits,10,2.8508032895000497,,0,297,0,5923196928,4007079936,0,0,4,34.197490664999805,4,297,0,gemma/p0_t0,4,4
0,6,0,0,{},6,6,6,num_qubits,11,13.54335439099998,,0,439,0,5923196928,4016349184,0,0,6,82.69496271300068,6,439,0,gemma/p0_t0,6,6
0,4,0,0,{},4,4,4,num_qubits,12,2.8716271400001006,,0,288,0,5923196928,4015288320,0,0,4,35.21094078200031,4,288,0,gemma/p0_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,13,3.2935656625000433,,0,319,0,5923196928,4006813696,0,0,4,36.33420406000016,4,319,0,gemma/p0_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,14,14.141537324999945,,0,296,0,5923196928,4007018496,0,0,4,57.83651444099996,4,296,0,gemma/p0_t0,4,4
0,2,0,0,{},2,2,2,num_qubits,15,14.852923645999965,,0,148,0,5923196928,3995615232,0,0,2,29.70584729199993,2,148,0,gemma/p0_t0,2,2
0,2,0,0,{},2,2,2,num_qubits,16,2.8752339379998944,,0,148,0,5923196928,4007124992,0,0,2,5.750467875999789,2,148,0,gemma/p0_t0,2,2
0,1,0,0,{},1,1,1,num_qubits,17,25.45276632699995,,0,74,0,5922934784,3979190272,0,0,1,25.45276632699995,1,74,0,gemma/p0_t0,1,1
4,4,0,4,{},4,4,4,num_qubits,2,2.9249270164999643,0.000600740550000034,4,300,0,5923196928,4006830080,4,0,4,11.599726333000149,4,300,0,gemma/p0_t0,4,4
4,4,0,0,{},4,4,4,num_qubits,3,12.358689260000062,0.003630479150000032,4,292,0,5923196928,4006260736,4,0,4,49.35645413399982,4,292,0,gemma/p0_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,30,13.66424182600008,,0,318,0,5923196928,4007034880,0,0,4,54.60760814300011,4,318,0,gemma/p0_t0,4,4
4,4,1,0,{},4,4,4,num_qubits,4,2.716152958000066,0.0070976043500000086,4,288,0,5923196928,4006670336,4,0,4,11.206999085000007,4,288,0,gemma/p0_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,40,13.230570145499996,,0,310,0,5923196928,4019539968,0,0,4,54.29055247200017,4,310,0,gemma/p0_t0,4,4
4,8,3,0,{},8,8,8,num_qubits,5,2.9766816034999977,0.02887577985000006,4,579,0,5923196928,4006547456,4,0,8,61.820298159000174,8,579,0,gemma/p0_t0,8,8
0,4,0,0,{},4,4,4,num_qubits,50,2.8727845780001644,,0,300,0,5923196928,4015255552,0,0,4,11.630810467000174,4,300,0,gemma/p0_t0,4,4
2,4,2,0,{},4,4,4,num_qubits,6,14.218798822000053,0.05457662539999997,2,289,0,5923196928,4006539264,2,0,4,56.637346237999964,4,289,0,gemma/p0_t0,4,4
0,3,0,0,{},3,3,3,num_qubits,60,20.89782415500008,,0,227,0,5923196928,4006809600,0,0,3,45.87573007099991,3,227,0,gemma/p0_t0,3,3
0,8,0,0,{},8,8,8,num_qubits,7,3.2773852789999864,,0,639,0,5923196928,4014747648,0,0,8,64.34251401700004,8,639,0,gemma/p0_t0,8,8
0,2,0,0,{},2,2,2,num_qubits,70,11.86054672900002,,0,148,0,5923196928,4005879808,0,0,2,23.72109345800004,2,148,0,gemma/p0_t0,2,2
0,4,0,0,{},4,4,4,num_qubits,8,3.2400310434999255,,0,320,0,5923196928,4026589184,0,0,4,32.04745339100009,4,320,0,gemma/p0_t0,4,4
0,8,0,0,{},8,8,8,num_qubits,9,12.658722880500022,,0,603,0,5923196928,4014981120,0,0,8,107.13516065299984,8,603,0,gemma/p0_t0,8,8
0,14,0,0,"{""transport_failure"": 1}",13,13,13,family,pricing,3.0768785494999804,,0,974,0,5920829440,4000952320,0,0,13,120.84240757500089,14,,0,gemma/p0_t07,13,13
18,74,10,10,{},74,74,74,family,qft,3.372611696500144,0.0016153371500000624,18,6029,7,5923196928,4027023360,18,0,74,738.450691452,74,6029,0,gemma/p0_t07,74,74
0,4,0,0,{},4,4,4,num_qubits,10,3.663001879000035,,0,356,0,5923196928,4017577984,0,0,4,37.823549897000134,4,356,0,gemma/p0_t07,4,4
0,6,0,0,{},6,6,6,num_qubits,11,3.2002415020000967,,0,464,0,5923196928,4018106368,0,0,6,61.80941301000195,6,464,0,gemma/p0_t07,6,6
