0.00.687.231 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.695.906 W srv  llama_server: -----------------
0.00.695.913 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.695.915 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.695.916 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.695.916 W srv  llama_server: -----------------
0.00.713.627 I srv    load_model: loading model 'D:\Tesi-mqt\llm-selection\qiskit-dataset-five-device-expected-fidelity-mqt-predictor-2.4-v2\models\qwen\Q8_0.gguf'
0.03.385.617 I cmn          init: llama threadpool init, n_threads = 6
0.03.533.360 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 163840, kv_unified = 'false'
0.03.534.728 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.03.553.850 I srv  llama_server: model loaded
0.03.553.856 I srv  llama_server: listening on http://127.0.0.1:8089
2.31.744.067 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
2.31.746.104 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
2.34.892.337 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1536, progress = 0.02, t =   3.15 s / 488.21 tokens per second
2.35.072.049 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1664, progress = 0.02, t =   3.33 s / 500.31 tokens per second
2.35.251.746 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1792, progress = 0.02, t =   3.51 s / 511.18 tokens per second
2.35.435.348 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1920, progress = 0.02, t =   3.69 s / 520.44 tokens per second
2.35.618.538 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.02, t =   3.87 s / 528.87 tokens per second
2.35.805.956 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2176, progress = 0.02, t =   4.06 s / 535.99 tokens per second
2.35.992.918 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2304, progress = 0.02, t =   4.25 s / 542.53 tokens per second
2.36.183.030 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2432, progress = 0.02, t =   4.44 s / 548.13 tokens per second
2.36.373.353 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2560, progress = 0.03, t =   4.63 s / 553.25 tokens per second
2.36.567.327 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2688, progress = 0.03, t =   4.82 s / 557.54 tokens per second
2.36.760.418 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2816, progress = 0.03, t =   5.01 s / 561.60 tokens per second
2.36.958.251 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2944, progress = 0.03, t =   5.21 s / 564.84 tokens per second
2.37.154.869 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3072, progress = 0.03, t =   5.41 s / 567.97 tokens per second
2.37.355.248 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3200, progress = 0.03, t =   5.61 s / 570.50 tokens per second
2.37.555.676 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3328, progress = 0.03, t =   5.81 s / 572.85 tokens per second
2.37.759.124 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3456, progress = 0.04, t =   6.01 s / 574.76 tokens per second
2.37.962.239 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3584, progress = 0.04, t =   6.22 s / 576.57 tokens per second
2.38.169.672 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3712, progress = 0.04, t =   6.42 s / 577.87 tokens per second
2.38.376.205 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3840, progress = 0.04, t =   6.63 s / 579.18 tokens per second
2.38.587.822 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3968, progress = 0.04, t =   6.84 s / 579.97 tokens per second
2.38.797.951 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.04, t =   7.05 s / 580.84 tokens per second
2.39.013.014 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4224, progress = 0.04, t =   7.27 s / 581.27 tokens per second
2.39.226.594 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4352, progress = 0.04, t =   7.48 s / 581.78 tokens per second
2.39.444.207 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4480, progress = 0.05, t =   7.70 s / 581.96 tokens per second
2.39.661.372 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4608, progress = 0.05, t =   7.92 s / 582.17 tokens per second
2.39.882.644 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4736, progress = 0.05, t =   8.14 s / 582.07 tokens per second
2.40.102.206 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4864, progress = 0.05, t =   8.36 s / 582.09 tokens per second
2.40.326.470 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4992, progress = 0.05, t =   8.58 s / 581.80 tokens per second
2.40.549.534 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   5120, progress = 0.05, t =   8.80 s / 581.59 tokens per second
2.40.777.696 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   5248, progress = 0.05, t =   9.03 s / 581.07 tokens per second
2.41.004.110 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   5376, progress = 0.05, t =   9.26 s / 580.69 tokens per second
2.41.235.518 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   5504, progress = 0.06, t =   9.49 s / 580.02 tokens per second
2.41.465.311 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   5632, progress = 0.06, t =   9.72 s / 579.47 tokens per second
2.41.699.988 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   5760, progress = 0.06, t =   9.95 s / 578.67 tokens per second
2.41.933.121 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   5888, progress = 0.06, t =  10.19 s / 577.99 tokens per second
2.42.171.672 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6016, progress = 0.06, t =  10.43 s / 577.04 tokens per second
2.42.407.966 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.06, t =  10.66 s / 576.26 tokens per second
2.42.650.172 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6272, progress = 0.06, t =  10.90 s / 575.20 tokens per second
2.42.889.774 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6400, progress = 0.07, t =  11.14 s / 574.32 tokens per second
2.43.134.683 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6528, progress = 0.07, t =  11.39 s / 573.21 tokens per second
2.43.377.780 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6656, progress = 0.07, t =  11.63 s / 572.23 tokens per second
2.43.626.816 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6784, progress = 0.07, t =  11.88 s / 571.01 tokens per second
2.43.872.609 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6912, progress = 0.07, t =  12.13 s / 569.99 tokens per second
2.44.124.252 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   7040, progress = 0.07, t =  12.38 s / 568.75 tokens per second
2.44.374.881 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   7168, progress = 0.07, t =  12.63 s / 567.59 tokens per second
2.44.631.415 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   7296, progress = 0.07, t =  12.89 s / 566.23 tokens per second
2.44.885.057 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   7424, progress = 0.08, t =  13.14 s / 565.04 tokens per second
2.45.144.739 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   7552, progress = 0.08, t =  13.40 s / 563.64 tokens per second
2.45.401.559 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   7680, progress = 0.08, t =  13.66 s / 562.41 tokens per second
2.45.664.552 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   7808, progress = 0.08, t =  13.92 s / 560.98 tokens per second
2.45.924.183 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   7936, progress = 0.08, t =  14.18 s / 559.74 tokens per second
2.46.189.995 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8064, progress = 0.08, t =  14.44 s / 558.30 tokens per second
2.46.453.449 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.08, t =  14.71 s / 557.00 tokens per second
2.46.723.301 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8320, progress = 0.08, t =  14.98 s / 555.51 tokens per second
2.46.990.011 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8448, progress = 0.09, t =  15.24 s / 554.19 tokens per second
2.47.263.387 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8576, progress = 0.09, t =  15.52 s / 552.68 tokens per second
2.47.533.462 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8704, progress = 0.09, t =  15.79 s / 551.33 tokens per second
2.47.809.212 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8832, progress = 0.09, t =  16.06 s / 549.83 tokens per second
2.48.082.154 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8960, progress = 0.09, t =  16.34 s / 548.48 tokens per second
2.48.361.106 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9088, progress = 0.09, t =  16.61 s / 546.98 tokens per second
2.48.638.462 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9216, progress = 0.09, t =  16.89 s / 545.57 tokens per second
2.48.921.864 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9344, progress = 0.10, t =  17.18 s / 544.02 tokens per second
2.49.202.565 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9472, progress = 0.10, t =  17.46 s / 542.61 tokens per second
2.49.489.108 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9600, progress = 0.10, t =  17.74 s / 541.06 tokens per second
2.49.772.847 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9728, progress = 0.10, t =  18.03 s / 539.64 tokens per second
2.50.061.829 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9856, progress = 0.10, t =  18.32 s / 538.12 tokens per second
2.50.347.852 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9984, progress = 0.10, t =  18.60 s / 536.72 tokens per second
