#{"t_start": 1789501611.0506365, "env_id": "None"}
r,l,t
0.0,64,43.662125
0.0,64,95.702455
0.911392,25,110.590644
0.0,5,181.072121
0.950041,32,197.771677
0.841406,7,202.02473
0.0,23,268.345282
0.0,64,290.792639
0.693176,43,298.499061
0.0,64,323.429192
0.0,64,368.824277
0.796084,46,413.080551
0.658065,41,458.753708
0.897796,20,468.772791
0.93497,60,490.942091
0.390781,7,516.188879
0.0,64,570.007367
0.939199,22,575.912377
0.927553,25,584.751412
0.476729,30,611.884604
0.968407,33,621.778421
0.077741,28,724.130329
0.456287,21,746.998257
0.923371,10,749.564857
0.785022,41,755.609184
0.0,64,840.710245
0.0,64,900.479959
0.890511,29,905.668629
0.0,64,938.221897
0.856982,40,957.127689
0.863764,33,975.237178
0.492903,64,1059.09329
0.295101,20,1122.969579
0.990412,17,1128.81862
0.0,11,1201.923622
0.277631,41,1279.494255
0.962155,23,1296.03407
0.954314,29,1308.861692
0.0,64,1339.201361
0.746956,47,1385.403789
0.955042,14,1390.241035
0.317805,11,1403.416097
0.0,64,1442.319759
0.668226,35,1468.113208
0.803267,23,1471.260905
0.0,3,1532.755521
0.616504,32,1560.312973
0.730085,47,1583.089038
0.892927,39,1590.2184
0.693617,29,1608.96346
0.964231,25,1624.489722
0.955542,11,1629.171942
0.0,46,1799.9267
0.931737,24,1805.028262
0.850891,27,1817.82111
0.84741,13,1830.987156
0.866671,39,1845.926405
0.0,3,1906.684939
0.814256,30,1915.073946
0.356804,29,2415.128784
0.22729,22,2451.286981
0.781227,18,2454.732683
0.805497,8,2462.892225
0.883587,29,2484.499808
0.693453,56,2543.199657
0.997223,24,2548.66657
0.932348,12,2560.149726
0.968596,12,2565.191647
0.554174,3,2577.258368
0.434047,42,2661.719861
0.800679,16,2679.745934
0.985734,32,2692.485838
0.664586,31,2719.171902
0.848477,16,2730.131275
0.569494,19,2730.935297
0.958353,18,2731.32037
0.567971,21,2753.156239
0.874659,18,2776.678479
0.970327,8,2779.352976
0.64397,20,2811.190269
0.880196,29,2820.241793
0.812552,9,2825.289289
0.121728,17,2867.952732
0.859784,17,2876.295205
0.582152,31,2909.219928
0.910026,27,2913.16403
0.771061,12,2920.519511
0.525715,10,2930.27574
0.831086,52,2976.159105
0.715896,13,2983.468171
0.0,5,3092.677094
0.894708,36,3126.958355
0.986644,15,3127.26665
0.554447,14,3147.372637
0.909924,4,3150.307131
0.935558,43,3175.037658
0.969404,12,3175.281105
0.0,8,3292.416279
0.780117,43,3338.928478
0.896375,53,3377.367264
0.545557,14,3387.203825
0.819569,20,3401.67697
0.964521,18,3410.812274
0.913997,20,3418.956997
0.849957,33,3420.697306
0.983985,14,3425.106712
0.974108,13,3427.854882
0.607176,31,3436.602998
0.910744,40,3448.753179
0.359005,58,3530.141103
0.828115,8,3542.52744
0.988452,60,3576.553287
0.771048,20,3602.050731
0.520539,57,3638.980302
0.977601,14,3641.279275
0.947901,15,3643.981147
0.98481,6,3644.098954
0.0,64,3723.730043
0.0,64,3758.980252
0.80982,14,3767.955279
0.11838,40,3858.651747
0.991002,38,3864.984866
0.0,4,3928.042791
0.031059,14,3929.727403
0.764998,27,3937.88293
0.900588,4,3937.970662
0.87638,41,3986.545106
0.017635,22,4000.424592
0.561014,29,4020.807399
0.60616,59,4069.032508
0.531534,23,4080.837052
0.757997,25,4110.55233
0.468847,23,4122.087028
0.681629,31,4149.349469
0.913917,48,4168.071977
0.910104,29,4173.458188
0.958369,8,4178.357654
0.883861,27,4186.846953
0.871854,30,4207.24864
0.0,12,4321.159977
0.0,25,4432.842457
0.658207,12,4435.85801
0.734295,10,4444.83487
0.0,16,4950.297712
0.904988,29,4968.038297
0.657453,36,4994.437566
0.943531,7,4997.849296
0.999254,14,5000.062306
0.944028,38,5020.521832
0.690572,13,5036.14706
0.871074,14,5054.083595
0.804775,6,5062.480529
0.969279,27,5070.403571
0.608357,21,5074.665525
0.945187,24,5081.968962
0.77955,7,5086.401268
0.680175,11,5093.468377
0.8463,5,5093.608234
0.419351,42,5171.340807
0.955591,17,5184.403954
0.89335,17,5191.448443
0.603805,22,5219.915264
0.995821,22,5230.042782
0.799204,14,5247.069789
0.783923,19,5254.539875
0.686026,6,5257.379128
0.266541,30,5294.701451
0.875951,31,5312.086493
0.90611,9,5315.021987
0.0,14,5381.346635
0.97712,17,5388.616129
0.663969,10,5397.913247
0.607397,22,5414.969738
0.877742,38,5433.396016
0.968689,15,5442.970408
0.990781,38,5453.33291
0.84141,46,5482.473083
0.99275,15,5486.937968
0.901009,39,5505.833056
0.570142,36,5522.416082
0.570709,33,5546.878387
0.975883,19,5549.61581
0.0,26,5612.394561
0.94397,14,5618.380408
0.961122,10,5621.75085
0.972665,26,5631.023201
0.886134,17,5642.74507
0.858451,17,5651.992493
0.201903,25,5697.659545
0.861199,29,5721.369816
0.849577,5,5721.499444
0.874859,21,5746.151672
0.957615,17,5751.645721
0.866927,17,5762.239855
0.961502,9,5768.148705
0.0,12,5770.392646
0.94502,15,5775.083648
0.850822,11,5779.413519
0.816665,20,5793.48066
0.744835,11,5800.030725
0.95488,52,5827.687777
0.985686,39,5837.117648
0.295761,9,5837.479049
0.89268,22,5843.475785
0.848349,8,5850.48443
0.589394,27,5889.169332
0.885089,10,5894.516275
0.527191,20,5904.203527
0.461274,41,5972.467434
0.767375,21,5991.272476
0.998798,6,5991.422511
0.0,25,6131.053802
0.958521,39,6145.907566
0.805823,18,6146.377578
0.939535,6,6149.236203
0.0,17,6376.615773
0.913699,33,6377.63544
0.993339,13,6383.901049
0.935546,6,6389.025707
0.56976,7,6408.55178
0.726487,28,6417.767076
0.880898,18,6427.125712
0.885789,4,6431.827029
0.95026,14,6449.538041
