#{"t_start": 1789722977.9315124, "env_id": "None"}
r,l,t
0.89,3,52.176078
0.513098,4,58.159773
0.974108,3,60.823852
0.0,6,61.828836
0.943712,3,64.538365
0.840511,4,69.688102
0.0,2,130.055307
0.811868,3,134.848702
0.707826,3,144.056916
0.927776,3,144.140083
0.790777,4,144.249155
0.880942,3,148.745941
0.407376,4,160.820428
0.885702,4,163.679569
0.947718,4,166.214801
0.787139,3,171.59292
0.343402,3,196.230405
0.943544,3,199.015431
0.93584,3,202.087301
0.516284,5,207.804782
0.960524,3,210.419013
0.55308,3,218.639168
0.489336,9,235.928419
0.909837,3,239.476506
0.884961,4,239.595348
0.595714,3,251.226711
0.340295,7,264.584893
0.905412,4,267.151678
0.8645,3,272.337957
0.893063,4,276.712964
0.880942,3,281.247361
0.515044,4,297.715645
0.673907,3,304.019363
0.998849,3,308.20063
0.478801,5,334.422035
0.33899,38,351.07295
0.955542,3,353.609991
0.976811,3,355.91678
0.913264,3,355.994452
0.849489,5,362.391227
0.982969,3,362.462244
0.74036,4,365.995487
0.89,3,368.79129
0.743493,3,374.409096
0.864588,3,378.538169
0.0,1,439.296228
0.910417,4,447.102288
0.786977,4,447.238061
0.88931,4,447.349584
0.690572,3,457.200728
0.960524,3,460.035167
0.955542,3,462.703394
0.0,2,523.271215
0.959119,3,526.016414
0.875865,4,529.587105
0.880935,3,534.314507
0.908499,3,538.343987
0.0,5,546.626321
0.874612,4,549.498842
0.218648,4,573.250763
0.387818,4,579.368817
0.923672,3,585.523536
0.786741,4,591.026263
0.953778,3,593.761132
0.933129,4,597.040287
0.998849,3,599.107722
0.909837,3,602.48898
0.960524,3,605.136214
0.554174,3,617.369579
0.920699,5,621.05461
0.925788,4,627.942073
0.984762,3,630.252116
0.859151,4,635.168714
0.880942,3,639.788637
0.825126,4,639.910901
0.953778,3,642.785125
0.55308,3,651.223505
0.8645,3,656.315062
0.991694,3,660.720717
0.789179,3,669.789116
0.887137,3,669.882436
0.90072,4,678.699729
0.516641,8,684.451377
0.935325,3,687.361146
0.878194,4,690.760564
0.908585,3,690.838049
0.84594,4,700.230182
0.811868,3,705.022985
0.840928,3,709.50129
0.712517,4,709.623052
0.0,4,761.893791
0.878682,4,766.451066
0.998849,3,768.476966
0.579106,3,780.006549
0.92606,3,780.087992
0.864588,3,784.299185
0.978819,3,786.616148
0.0,4,837.296305
0.876907,4,840.020152
0.931197,4,843.453636
0.707826,3,852.602315
0.896865,4,852.734797
0.956731,3,855.626569
0.892374,3,861.345168
0.937651,3,864.716547
0.983985,3,869.235489
0.960524,3,871.935102
0.777597,4,881.066629
0.960259,3,881.145519
0.787139,3,886.505544
0.7413,3,892.706375
0.987613,3,895.089424
0.858827,3,898.945263
0.756475,4,899.063828
0.987613,3,901.39781
0.960259,3,901.470972
0.998849,3,903.489485
0.858827,3,907.422157
0.869706,4,907.539477
0.835811,4,910.486004
0.555034,4,915.537298
0.985872,3,917.862162
0.620275,4,947.110281
0.354584,4,947.26698
0.879125,4,954.431073
0.939197,3,957.651053
0.878877,4,961.217483
0.351827,4,971.633982
0.832953,4,976.149309
0.806081,4,979.261133
0.734015,4,986.124377
0.930408,3,989.262092
0.858827,3,993.15278
0.707826,3,1002.255135
0.885908,4,1005.247658
0.929217,3,1005.32704
0.939197,3,1008.506341
0.860023,3,1015.549108
0.880935,3,1020.35986
0.767317,4,1029.219645
0.0,5,1121.35059
0.814171,4,1121.445173
0.876037,3,1124.940856
0.0,1,1185.289023
0.923281,3,1188.068297
0.724756,4,1198.334278
0.937651,3,1201.520806
0.998395,3,1205.321838
0.942637,3,1208.255117
0.707826,3,1217.169004
0.880935,3,1221.731549
0.809935,3,1228.013915
0.979949,3,1232.336946
0.601031,6,1232.534235
0.942637,3,1235.493795
0.887276,4,1239.953929
0.90155,4,1243.068313
0.846703,4,1245.819093
0.603177,4,1245.973936
0.955542,3,1248.248368
0.940667,3,1251.006293
0.915263,4,1254.475341
0.994618,3,1256.434852
0.880935,3,1260.890116
0.838379,3,1267.489148
0.789179,3,1276.032358
0.585041,4,1289.774098
0.934365,3,1293.133673
0.960259,3,1293.202988
0.0,7,1446.542694
0.977351,3,1450.900916
0.740804,6,1454.687654
0.794642,4,1457.676531
0.791595,4,1463.241874
0.960524,3,1465.7266
0.998849,3,1467.639221
0.925646,3,1467.716395
0.990233,3,1469.806713
0.92261,3,1475.143671
0.831226,3,1479.146089
0.56976,3,1497.584696
0.977776,3,1500.042539
0.182575,4,1508.164936
0.943712,3,1510.904284
0.955042,3,1513.3674
0.989,3,1517.171361
0.89361,3,1519.891393
0.937651,3,1523.142021
0.177444,5,1544.801828
0.953778,3,1547.281577
0.831522,3,1551.077851
0.898339,4,1555.244023
0.955042,3,1557.811136
0.9111,4,1564.737776
0.960524,3,1567.200016
1e-06,4,1614.471693
0.949436,3,1617.133642
0.934518,3,1622.610938
0.937651,3,1625.935894
0.847644,3,1632.721856
0.916619,4,1638.645664
0.989155,3,1640.688325
0.356196,5,1658.646409
0.89361,3,1661.404183
0.89361,3,1663.907345
0.780192,5,1672.456135
0.901569,3,1675.234114
0.852082,3,1678.907792
0.507071,4,1690.28256
0.845556,4,1697.561781
0.998849,3,1701.508398
0.691938,5,1715.513052
0.96418,3,1715.581238
0.8645,3,1720.465773
0.947597,4,1720.566592
0.0,4,1781.556927
0.964161,3,1784.262482
0.983068,3,1786.571912
0.947996,3,1789.1721
0.553463,3,1800.501069
0.838379,3,1804.320138
0.877459,4,1804.415631
0.885789,3,1808.478064
0.926496,4,1815.41889
0.836494,4,1815.717967
0.897055,4,1819.967321
0.35454,6,1834.002473
0.459625,5,1834.164913
0.809099,3,1840.519013
0.880935,3,1844.929209
0.0,2,1905.470885
0.876045,4,1909.962226
0.978819,3,1912.231313
0.967958,3,1914.410408
0.800385,4,1922.573869
0.942637,3,1925.496587
0.998249,3,1929.399908
0.959119,3,1932.031213
0.949492,3,1936.98076
0.709381,4,1937.103797
0.516641,4,1942.444217
0.215294,5,1942.654522
0.944689,3,1942.73548
0.964298,3,1945.353683
0.693524,3,1954.327586
0.673907,4,1960.204309
0.916375,3,1960.28301
0.0,1,2020.621288
0.912567,4,2020.732623
0.864588,3,2024.725069
0.929449,3,2024.793839
0.445681,5,2025.306855
0.55308,3,2033.546483
0.904127,4,2036.129193
0.998395,3,2040.022686
0.919866,4,2047.110076
0.93584,3,2052.743702
0.983985,3,2057.040046
0.835822,4,2064.80556
0.731092,7,2078.352698
0.977776,3,2080.735584
0.86705,3,2084.288604
0.989498,3,2086.379018
0.262275,4,2093.602063
0.55308,3,2101.54262
0.884057,6,2101.715078
0.751081,3,2107.940105
0.937651,3,2111.048785
0.905497,3,2114.278244
0.659911,4,2134.886337
0.0,4,2182.78401
0.693524,3,2191.627577
0.838837,4,2194.465732
0.967377,3,2196.653591
0.960524,3,2199.191567
0.733279,5,2199.324929
0.916265,3,2199.408765
0.955042,3,2201.918168
0.86705,3,2205.528647
0.828068,4,2213.443109
0.846703,4,2216.147639
0.0,2,2276.506413
0.786048,4,2279.597812
0.935672,3,2282.517149
0.890336,4,2282.630677
0.781638,3,2289.104332
0.809935,3,2295.580086
0.620275,4,2322.406816
0.0,2,2382.767395
0.998849,3,2384.746315
0.0,4,2386.160305
0.998849,3,2388.065451
0.787139,3,2393.361973
0.998849,3,2397.441661
0.9381,3,2400.129397
0.522634,6,2414.742319
0.897055,5,2419.084639
0.92261,3,2424.455199
0.747074,3,2430.747533
0.949436,3,2433.391415
0.0,4,2434.04841
0.924352,5,2440.653007
0.796656,3,2448.44269
0.949492,3,2452.960291
