#{"t_start": 1788899905.600558, "env_id": "None"}
r,l,t
0.0,64,34.878872
0.980411,41,48.694382
0.0,1,109.317704
0.967373,41,130.440913
0.938117,9,133.203139
0.0,4,218.613816
0.933371,30,227.390119
0.892589,7,231.248562
0.92678,8,231.483952
0.0,64,249.726822
0.985575,58,263.458605
0.0,64,303.661548
0.0,64,330.082153
0.970777,46,352.574427
0.813399,41,392.550879
0.791921,20,421.282749
0.969377,60,435.800184
0.982887,7,444.363711
0.979059,45,460.455424
0.853105,12,466.332486
0.965311,16,466.709866
0.914675,13,470.590559
0.988924,25,481.206112
0.74674,30,508.388688
0.955537,33,518.5582
0.944273,7,521.990301
0.943904,21,527.231621
0.984659,8,530.395355
0.841463,13,542.846145
0.786921,10,550.517496
0.995208,41,555.052465
0.0,64,675.879276
0.980676,59,692.327667
0.988064,34,697.091272
0.953647,6,699.624799
0.0,64,719.809786
0.974308,34,729.131017
0.88019,33,748.977335
0.932557,64,776.149912
0.914152,20,791.953429
0.983919,17,798.791011
0.0,3,863.094734
0.973198,49,883.884555
0.926863,23,898.284949
0.94612,29,908.333166
0.0,64,954.145492
0.980411,43,972.383004
0.979353,18,976.960603
0.123752,11,1016.825278
0.0,64,1043.542077
0.962737,35,1052.126057
0.944132,23,1054.859482
0.993119,35,1069.086094
0.198858,47,1379.376853
0.956197,39,1384.66541
0.753155,29,1403.20837
0.966067,25,1415.740237
0.937327,11,1420.969637
0.960053,38,1426.665352
0.976153,32,1439.180269
0.989637,27,1445.679277
0.961727,13,1453.596448
0.974865,27,1458.639714
0.859793,34,1480.656492
0.973051,34,1863.408986
0.982326,28,1870.149811
0.983801,18,1872.714708
0.943281,18,1878.678842
0.985634,32,1890.13697
0.928252,30,1896.790966
0.960802,37,1904.493065
0.944047,12,1912.796428
0.995238,12,1916.963266
0.913056,45,1937.819717
0.932893,16,1944.012986
0.964761,32,1957.329674
0.936594,31,1969.898071
0.97127,16,1973.295414
0.951929,14,1973.810325
0.826252,23,1975.09451
0.941922,5,1975.270822
0.846008,16,1988.940095
0.916374,26,2001.929836
0.0,8,2065.309373
0.964763,12,2077.207551
0.99032,29,2081.791239
0.988509,9,2084.963573
0.952507,17,2090.88669
0.982414,17,2096.291914
0.979087,31,2105.284335
0.0,15,2270.925413
0.943338,12,2276.716033
0.974894,12,2282.317952
0.895996,10,2282.563428
0.94612,52,2309.094734
0.989756,13,2311.352713
0.968068,41,2325.897988
0.969145,15,2326.25055
0.989014,14,2330.440011
0.981117,4,2332.593073
0.899646,25,2346.091609
0.957262,18,2359.043952
0.830487,12,2359.618188
0.933146,51,2391.361082
0.990261,53,2408.678716
0.888395,14,2412.544948
0.918355,31,2415.924844
0.990528,8,2418.091471
0.96083,19,2425.579822
0.992076,9,2425.777405
0.894653,15,2426.653027
0.93961,9,2429.89991
0.92353,14,2436.866452
0.983359,13,2439.117867
0.894789,31,2513.976723
0.952101,40,2525.820817
0.978442,14,2532.187966
0.952818,44,2547.867874
0.857427,8,2557.442149
0.916071,31,2573.04778
0.928145,29,2594.191961
0.927615,20,2609.981905
0.884724,26,2632.756698
0.891599,31,2647.449651
0.963462,18,2653.590065
0.947257,11,2657.466313
0.972641,6,2657.61551
0.0,64,2681.943322
0.944047,12,2692.32045
0.0,64,2733.363719
0.0,3,2794.311792
0.931295,39,2807.083712
0.905409,31,2816.18522
0.303814,7,2853.403225
0.968562,18,2856.864821
0.908243,4,2860.528627
0.988865,18,2863.557221
0.996225,9,2865.733541
0.972671,41,2888.244552
0.893554,22,2894.617051
0.0,64,2927.665478
0.907132,24,2941.55596
0.987529,23,2942.147468
0.858607,25,2988.898018
0.949682,23,2992.356748
0.949418,11,2998.065446
0.975685,33,3013.038211
0.92353,35,3027.551914
0.848314,37,3051.677598
0.980617,27,3061.167273
0.941527,30,3077.771238
0.918578,49,3091.813192
0.996763,10,3095.782682
0.944273,23,3495.810786
0.939751,22,3504.498647
0.919737,36,3521.16743
0.960915,7,3521.420665
0.96106,14,3524.283234
0.0,4,3630.093164
0.97759,47,3642.555885
0.914065,10,3652.165805
0.909468,10,3663.556677
0.940539,20,3671.489845
0.981029,28,3672.204509
0.99491,24,3676.425011
0.951044,7,3679.084105
0.986909,11,3681.370124
0.958927,5,3681.500905
0.87374,42,3713.277578
0.848314,17,3734.632783
0.991332,3,3736.901625
0.964417,36,3749.38577
0.97422,22,3759.164996
0.984363,14,3768.289009
0.941217,19,3774.012097
0.988064,16,3785.423381
0.96236,4,3787.737722
0.932055,13,3793.441923
0.961436,34,3803.850829
0.972643,9,3806.356729
0.916593,6,3806.539923
0.980381,25,3814.237396
0.0,8,3898.278226
0.968302,24,3905.754613
0.97276,36,3916.438454
0.949506,8,3916.714523
0.950216,9,3924.531956
0.977501,20,3931.3743
0.995178,18,3933.655615
0.747098,46,3990.978012
0.941358,19,3994.757231
0.935445,35,4004.85362
0.913243,40,4009.95051
0.940793,7,4010.148543
0.88722,22,4023.048476
0.864371,16,4023.766482
0.941357,10,4024.015431
0.99491,33,4030.50843
0.691167,10,4054.325932
0.962304,10,4059.77016
0.944217,6,4063.301931
0.978323,13,4063.61466
0.0,2,4123.995497
0.974984,12,4129.303389
0.99038,10,4131.694551
0.944501,7,4134.485294
0.792726,19,4154.557849
0.944839,11,4155.110126
0.968911,8,4155.344977
0.956831,16,4164.82132
0.916648,6,4164.985526
0.873375,20,4183.839952
0.95416,17,4188.552184
0.848314,17,4211.438221
0.913385,21,4219.154797
0.944897,10,4228.753567
0.124157,5,4230.948976
0.951186,11,4231.472546
0.979645,9,4231.677398
0.0,64,4260.745569
0.910865,12,4264.903121
0.956027,37,4272.436878
0.991987,9,4272.66993
0.977706,22,4277.383785
0.972468,35,4301.323035
0.916154,30,4305.28484
0.950559,31,4316.368762
0.981323,10,4318.666827
0.890476,16,4327.546141
0.784541,5,4335.066541
0.929227,6,4335.27048
0.222596,64,4717.420785
0.960108,22,4717.949059
0.981412,6,4721.006232
0.955566,31,4727.074915
0.825025,18,4738.847626
0.948568,16,4744.015057
0.9982,7,4746.097946
0.977853,16,4749.06094
0.983123,12,4751.52359
0.990677,4,4751.658334
0.932916,14,4752.001722
0.936199,4,4752.153937
0.991332,14,4762.267581
0.889224,12,4767.141666
0.988627,18,4773.671901
0.944756,3,4773.766218
0.919571,39,4783.377945
0.988064,13,4792.261385
0.91322,13,4798.816559
0.909497,8,4813.31091
0.0,6,4901.220504
0.89069,20,4915.763503
0.923415,16,4916.174299
0.982887,16,4926.625583
0.980205,4,4926.718121
0.910585,16,4930.394826
0.927417,51,4962.429661
0.974132,20,4972.199673
0.889545,10,4977.011267
0.926724,9,4980.352491
0.928169,14,4984.074816
0.123656,11,5027.357669
0.904597,8,5031.434217
0.938535,19,5032.350118
0.945834,12,5038.862254
0.982385,26,5049.027097
0.921753,26,5059.651799
0.884885,52,5482.416766
0.0,13,5623.248594
0.99491,15,5631.143117
0.002998,8,5652.44452
0.992076,10,5652.670624
0.829839,15,5662.063569
0.99491,5,5666.010974
0.974456,13,5668.518811
0.879528,29,5694.070016
0.952473,29,5704.055982
0.959243,10,5704.279035
0.91811,10,5708.207227
0.969784,9,5710.549634
0.0,2,5771.53105
0.953561,5,5774.195914
0.963546,18,5779.695663
0.974893,14,5782.1591
0.978352,5,5782.294053
0.931518,21,5785.83732
0.996793,16,5788.011126
0.002942,3,5788.545177
0.961754,16,5794.304159
0.907749,12,5805.38172
0.988776,15,5807.907232
0.0,8,5871.566019
0.927977,10,5878.190671
0.940282,6,5878.333652
0.440613,8,5879.612038
0.976035,10,5884.84443
0.979353,5,5889.242115
0.979941,14,5894.057243
0.939465,8,5894.255388
0.91993,8,5898.896168
0.961727,18,5907.14307
0.960108,3,5907.215678
0.950016,24,5910.465571
0.0,3,5996.456078
0.771956,12,6003.516013
0.983624,10,6003.745894
0.984659,15,6012.680932
0.238781,13,6113.269957
0.947229,11,6113.803758
0.97759,5,6116.27233
0.947083,22,6126.552376
0.901615,9,6130.482458
0.993209,10,6134.510993
0.917313,5,6137.830617
0.873554,5,6138.499877
0.941131,12,6143.990686
0.772237,15,6176.347613
0.976124,15,6185.376939
0.964587,7,6187.910307
0.871657,6,6200.054297
0.972642,19,6210.658512
0.949703,17,6215.352354
0.864163,7,6219.145697
0.992076,4,6219.248768
0.91563,4,6219.55963
0.956541,15,6222.835285
0.974895,10,6226.948501
0.792206,8,6245.319565
0.955222,10,6253.710532
0.001913,5,6254.891314
0.930906,9,6260.475245
0.983949,7,6263.138278
0.979206,7,6272.029132
0.986286,23,6281.072925
0.79442,27,6301.506663
0.894977,17,6329.567733
0.88308,19,6354.397531
0.954819,7,6354.565608
0.911137,8,6379.097965
0.984392,7,6379.282637
0.987916,3,6381.474361
0.969872,13,6388.013264
0.964472,10,6392.999039
0.910779,10,6397.485616
0.991332,3,6399.645749
0.975331,3,6399.724841
0.939611,18,6415.126271
0.981117,13,6415.442043
0.0,14,6517.281642
0.952129,10,6520.067593
0.945836,11,6530.326426
0.860309,18,6543.071715
0.947055,14,6545.866549
0.0,1,6606.11536
0.94048,9,6606.359963
0.96158,12,6608.903081
0.0,5,6670.926378
0.811085,10,6678.688671
0.988627,6,6680.795773
0.991778,16,6690.418883
0.946858,10,6693.128603
0.982592,13,6693.41988
0.909277,8,6696.464021
0.831111,7,6696.829145
0.988746,12,6699.3058
0.930457,8,6699.511353
0.984156,11,6701.878313
0.988657,24,6708.469727
0.955221,13,6708.868643
0.861943,5,6713.437678
0.979118,6,6715.806952
0.972468,12,6718.875878
0.944161,5,6723.962178
0.982679,4,6724.066772
0.979293,10,6726.348077
0.980793,16,6729.614374
0.87945,29,6743.258648
0.904733,8,6753.614554
0.955538,3,6756.148623
0.974075,12,6761.284116
0.757753,10,6766.7121
0.915438,18,6770.064759
0.944188,8,6773.278951
0.99035,8,6779.522699
0.966067,20,6785.20838
0.964616,13,6787.964427
0.915467,8,6795.000096
0.99491,5,6797.060551
0.933004,7,6824.772385
0.81128,12,6843.510812
0.927559,4,6849.913916
0.909497,7,6871.222451
0.962995,4,6873.531272
0.993447,4,6873.625872
0.877575,5,6873.782244
0.898778,19,6892.471561
0.942856,5,6892.785735
0.97311,11,6897.361243
0.979882,10,6899.610691
0.964703,20,6909.795925
0.878213,11,6913.878555
0.975685,7,6916.462013
0.0,4,7003.27815
0.771311,13,7038.304285
0.910861,25,7046.619306
0.943735,22,7053.690556
0.990142,6,7057.938369
0.99491,3,7059.89185
0.882471,14,7078.937473
0.939893,6,7085.579038
0.964616,14,7095.311237
0.932944,15,7098.284871
0.976124,6,7100.610507
0.910152,10,7100.84951
0.961811,7,7103.277469
0.944698,29,7112.238436
0.945179,12,7115.102316
0.987916,20,7128.003141
0.942857,8,7134.945268
0.972761,9,7138.441486
0.565957,5,7138.663719
0.973198,6,7144.826498
0.954246,7,7144.992987
0.757775,9,7145.32716
0.0,1,7205.918977
0.961785,12,7211.534266
0.918166,5,7211.663881
0.965833,7,7214.116945
0.824406,11,7220.352947
0.974571,16,7227.15476
0.937018,11,7234.346087
0.87635,12,7239.143108
0.979206,8,7243.668709
0.941274,4,7243.814378
0.982975,19,7248.664516
0.98109,13,7250.98625
0.779847,3,7251.121495
0.975305,14,7255.748313
0.939183,7,7255.926353
0.979852,3,7258.045582
0.980381,29,7272.388187
0.903512,10,7276.857192
0.932919,10,7277.109455
0.987115,8,7279.571213
0.989697,9,7285.967137
0.940256,15,7289.014913
0.932944,10,7291.889621
0.921173,23,7295.755344
0.796161,5,7295.906731
0.943905,6,7299.100008
0.961727,9,7305.249164
0.001867,11,7344.64082
0.851622,12,7353.858664
0.93488,7,7354.385347
0.979059,15,7363.846603
0.002947,6,7731.390254
0.883398,14,7749.91007
0.94164,24,7753.466382
0.943395,11,7760.545426
0.968244,7,7765.603624
0.866327,4,7770.451379
0.99491,5,7774.391218
0.771311,9,7800.239811
0.882471,9,7810.230546
0.968912,9,7812.676547
0.892268,8,7822.553777
0.886558,6,7822.834118
0.936143,11,7823.363618
0.918967,10,7829.58127
0.93696,19,7845.545506
0.938507,9,7845.776728
0.862376,10,7854.818128
0.98097,12,7857.163847
0.984097,8,7859.335603
0.993626,9,7863.870673
0.910865,3,7867.365682
0.982946,8,7870.091425
0.945066,7,7870.277789
0.99491,18,7874.485227
0.964993,6,7877.284445
0.972906,6,7879.587109
0.961554,10,7882.602714
0.983477,6,7882.740502
0.943649,12,7887.3867
0.210652,13,7957.588551
0.873901,4,7965.942117
0.981206,6,7968.207331
0.894069,10,7976.077524
0.978529,3,7976.153693
0.949047,7,7976.441556
0.980795,16,7981.337698
0.896023,9,7981.717526
0.978883,7,7984.166604
0.92353,3,7987.385717
0.954598,13,7990.181142
0.791372,6,7997.413027
0.001901,5,7999.154274
0.954074,8,7999.373234
0.968359,5,8001.870416
0.979118,6,8004.383913
0.947765,6,8006.841221
0.936003,14,8037.660999
0.913056,3,8041.342208
0.981559,13,8047.877568
0.970602,19,8057.161174
0.950387,17,8065.668996
0.942689,6,8071.221502
0.147937,18,8126.160157
0.919598,9,8130.291357
0.963372,28,8138.311043
0.978442,17,8142.800759
0.945606,6,8142.965544
0.972262,3,8143.056784
0.987589,4,8143.161891
0.964153,8,8148.115846
0.953876,10,8148.430031
0.952818,11,8160.806766
0.990439,9,8163.76389
0.974074,5,8163.886595
0.949763,6,8170.841872
0.0,6,8277.937979
0.979499,9,8280.268016
0.910152,4,8280.3752
0.947453,5,8282.756385
0.962218,6,8282.937977
0.952818,3,8285.605715
0.943906,3,8288.18903
0.854386,4,8288.361097
0.868435,5,8288.553575
0.903512,12,8292.652317
0.811085,3,8300.37146
0.995208,14,8306.511461
0.908677,7,8307.002136
0.233843,6,8308.75117
0.993387,18,8312.823658
0.858138,6,8315.920925
0.968447,3,8318.225786
0.0,2,8378.719827
0.936372,8,8384.26154
