#{"t_start": 1786308467.9544067, "env_id": "None"}
r,l,t
0.969027,3,18.490048
0.894069,3,50.437842
0.981118,3,53.713616
0.979499,3,60.350761
0.99491,3,68.693881
0.979059,3,74.248427
0.937831,3,74.402974
0.987768,3,77.112762
0.945179,3,77.601885
0.99491,3,82.673401
0.907863,3,94.606596
0.99491,3,96.727629
0.987768,3,99.270938
0.984303,4,99.855598
0.755052,3,107.275881
0.848314,4,120.326522
0.972468,3,124.622232
0.87089,3,134.039932
0.937356,3,141.599802
0.894069,3,151.903435
0.886206,3,152.042493
0.915932,3,152.207728
0.97759,3,155.6643
0.979646,3,164.822208
0.962737,3,167.427095
0.972614,3,172.304862
0.93328,3,172.40942
0.95867,3,174.792126
0.939611,3,182.810708
0.995059,3,185.465543
0.99491,3,187.57333
0.961727,3,194.058413
0.924552,3,194.193243
0.966067,3,196.751906
0.923112,3,196.895324
0.924746,3,197.016772
0.955969,3,202.834578
0.982916,3,205.387552
0.907612,3,205.519281
0.976124,3,208.153664
0.953845,3,208.277137
0.907726,3,215.900812
0.940598,3,221.044438
0.9982,3,223.222864
0.939611,3,230.133944
0.913056,3,239.525589
0.873554,3,239.677505
0.975831,3,245.766818
0.886206,3,245.868276
0.996823,3,245.968712
0.947257,3,252.046675
0.958844,3,256.386902
0.996823,3,256.481998
0.98747,3,256.588988
0.991183,3,260.655666
0.988509,3,263.883931
0.953677,3,267.481663
0.95039,3,274.697016
0.929929,4,281.6309
0.99297,3,285.738584
0.979353,3,288.00394
0.959994,3,290.778628
0.987768,3,292.95486
0.940598,3,297.738724
0.932445,3,304.842834
0.988212,3,308.86708
0.961727,3,314.567426
0.916483,3,314.678485
0.955969,3,320.592479
0.973052,3,324.965022
0.930399,3,325.094824
0.987768,3,327.590643
0.962995,3,327.806666
0.942233,3,327.950437
0.930594,3,328.053006
0.940598,3,333.660676
0.986138,3,338.264189
0.950248,3,345.419397
0.977884,3,349.496757
0.972614,3,354.531715
0.965922,3,357.386106
0.991183,3,361.617832
0.972349,3,361.721885
0.969027,3,361.835346
0.99491,3,364.110039
0.979646,3,373.672313
0.877733,3,373.809736
0.987768,3,376.148782
0.974221,3,379.109432
0.890393,3,379.272466
0.9587,3,382.60508
0.996823,3,382.719095
0.955826,3,386.241353
0.972614,3,390.999997
0.984363,3,395.515502
0.97759,3,398.182161
0.794992,3,405.320813
0.981265,3,409.255861
0.962995,3,409.383206
0.991987,3,409.479726
0.945179,3,409.598324
0.921642,3,409.737162
0.975685,3,412.631495
0.965777,3,415.965612
0.921587,3,416.091552
0.989697,3,420.384772
0.953988,3,420.508939
0.97627,3,423.753681
0.897482,3,427.871357
0.962737,3,430.888346
0.972614,3,433.788243
0.973373,3,436.088485
0.964183,3,440.859542
0.890393,3,441.037036
0.99491,3,444.79589
0.903235,3,444.907872
0.955826,3,449.047189
0.972233,3,449.208922
0.987916,3,451.653551
0.969027,3,451.787026
0.966064,3,451.927506
0.947541,3,456.095825
0.889384,3,460.600332
0.99491,3,462.575373
0.977444,3,466.623805
0.956312,3,474.108432
0.938483,3,485.702499
0.945123,3,485.818022
0.958038,3,488.51609
0.96375,3,494.364188
0.979059,3,496.992429
0.929092,3,505.580039
0.964183,3,509.32798
0.945179,3,509.466515
0.959994,3,511.924977
0.973929,3,514.97345
0.956312,3,515.065953
0.942294,3,522.022324
0.988509,3,524.81039
0.970572,3,527.792567
0.916764,3,535.61119
0.950986,3,536.689234
0.96216,3,542.797414
0.95039,3,547.560869
0.929534,3,547.674761
0.811085,5,563.346076
0.99491,3,567.384136
0.890393,3,567.48771
